cluster,label,size,top_keywords,top_titles
59,Deep learning / Computer vision / Developments / Applications / Trends,158759,"Deep learning, Computer vision, Developments, Applications, Trends",Deep Learning for Visual Understanding: A Review. || Watching the World Go By: Representation Learning from Unlabeled Videos || Adult Image and Video Recognition by a Deep Multicontext Network and Fine-to-Coarse Strategy || Attribute Surrogates Learning and Spectral Tokens Pooling in Transformers for Few-shot Learning || Master's Thesis : Deep Learning for Visual Recognition
97,Deep learning / Crops / Internet of Things / Metric learning / Generator,2875,"Deep learning, Crops, Internet of Things, Metric learning, Generator",Metric Learning with Generator for Closed Loop Detection in VSLAM || Cooperative Multitask Learning for Sparsity-Driven SAR Imagery and Nonsystematic Error Autocalibration. || A Survey on State-of-the-art Deep Learning Applications and Challenges || Orchard Classification Based on Super-Pixels and Deep Learning with Sparse Optical Images || Layover Detection Using Neural Network Based on Expert Knowledge
19,remote sensing / deep learning / Remote sensing / Feature extraction / feature fusion,2868,"remote sensing, deep learning, Remote sensing, Feature extraction, feature fusion",A Multi-Level Output-Based DBN Model for Fine Classification of Complex Geo-Environments Area Using Ziyuan-3 TMS Imagery. || Multimodal and Multi-Model Deep Fusion for Fine Classification of Regional Complex Landscape Areas Using ZiYuan-3 Imagery || TCPSNet: Transformer and Cross-Pseudo-Siamese Learning Network for Classification of Multi-Source Remote Sensing Images || Remote Sensing Image Interpretation: Deep Belief Networks for Multi-Object Analysis || Remotely Sensed Big Data: Evolution in Model Development for Information Extraction [point of View].
94,Convolutional neural networks / Deep learning / Internet of things / deep learning / Anomaly detection,2868,"Convolutional neural networks, Deep learning, Internet of things, deep learning, Anomaly detection","DeepDetect: an Innovative Hybrid Deep Learning Framework for Anomaly Detection in IoT Networks || Deep Learning for the Industrial Internet of Things (iiot): A Comprehensive Survey of Techniques, Implementation Frameworks, Potential Applications, and Future Directions || A Survey of the Recent Architectures of Deep Convolutional Neural Networks || Deep Learning in Diverse Intelligent Sensor Based Systems. || Decentralized Medical Image Classification System Using Dual-Input CNN Enhanced by Spatial Attention and Heuristic Support"
111,Deep Learning / Computational modeling / Feature extraction / Transfer Learning / Model Compression,2832,"Deep Learning, Computational modeling, Feature extraction, Transfer Learning, Model Compression",Low-Resource Scenario Classification Through Model Pruning Towards Refined Edge Intelligence || Deep Model Fusion: A Survey || Cross-Attention Enhanced Pyramid Multi-Scale Networks for Sensor-Based Human Activity Recognition. || Fast Yet Effective Machine Unlearning || Wild Patterns: Ten Years after the Rise of Adversarial Machine Learning.
70,Machine learning / Task analysis / Data visualization / Visual analytics / Visualization,2769,"Machine learning, Task analysis, Data visualization, Visual analytics, Visualization",Tracing and Visualizing Human-ML/AI Collaborative Processes Through Artifacts of Data Work || Challenges in Evaluating Interactive Visual Machine Learning Systems || Are We Closing the Loop Yet? Gaps in the Generalizability of VIS4ML Research || Rapsai: Accelerating Machine Learning Prototyping of Multimedia Applications Through Visual Programming. || Gaggle: Visual Analytics for Model Space Navigation.
81,Security / Privacy / 5G mobile communication / Internet of Things (IoT) / 6G,2600,"Security, Privacy, 5G mobile communication, Internet of Things (IoT), 6G",Security and Privacy for Low Power IoT Devices on 5G and Beyond Networks: Challenges and Future Directions || NOMA-Based Resource Allocation and Mobility Enhancement Framework for IoT in Next Generation Cellular Networks. || Five Facets of 6G: Research Challenges and Opportunities || Optimization Strategies for the Selection of Mobile Edges in Hybrid Crowdsensing Architectures || Network Slicing Based Learning Techniques for IoV in 5G and Beyond Networks
15,Medical image segmentation / Image segmentation / Semantics / U-Net / medical image segmentation,2585,"Medical image segmentation, Image segmentation, Semantics, U-Net, medical image segmentation",Scale-wise Discriminative Region Learning for Medical Image Segmentation || NeighborNet: Learning Intra- and Inter-Image Pixel Neighbor Representation for Breast Lesion Segmentation || S2DA-Net: Spatial and Spectral-Learning Double-Branch Aggregation Network for Liver Tumor Segmentation in CT Images || A Multi-Attention and Depthwise Separable Convolution Network for Medical Image Segmentation || DFEDC: Dual Fusion with Enhanced Deformable Convolution for Medical Image Segmentation
139,3D object detection / computer vision / sensor fusion / Discontinuous receptive fields / Information loss,2554,"3D object detection, computer vision, sensor fusion, Discontinuous receptive fields, Information loss","Boosting 3D Point-Based Object Detection by Reducing Information Loss Caused by Discontinuous Receptive Fields || Learnable Fusion Mechanisms for Multimodal Object Detection in Autonomous Vehicles || The RoboDrive Challenge: Drive Anytime Anywhere in Any Condition || Perception, Distance Estimation, and Tracking Integration from BEV Representations. || Unsupervised Vehicle Re-Identification Using Triplet Networks."
49,Language Modeling / Machine Translation / Transfer Learning / Meta-Learning / Sequence-to-Sequence Learning,2503,"Language Modeling, Machine Translation, Transfer Learning, Meta-Learning, Sequence-to-Sequence Learning",OpenFlamingo: an Open-Source Framework for Training Large Autoregressive Vision-Language Models || Explaining Patterns in Data with Language Models Via Interpretable Autoprompting || Retrieval-Augmented Data Augmentation for Low-Resource Domain Tasks || The E2E Dataset: New Challenges for End-to-End Generation || Tele-FLM Technical Report
37,Extended Reality / Use cases / Scene Description / AI / Blind and Low Vision People,2483,"Extended Reality, Use cases, Scene Description, AI, Blind and Low Vision People","Investigating Use Cases of AI-Powered Scene Description Applications for Blind and Low Vision People || MineXR: Mining Personalized Extended Reality Interfaces || PLUME: Record, Replay, Analyze and Share User Behavior in 6dof XR Experiences || A New Generation of Collaborative Immersive Analytics on the Web: Open-Source Services to Capture, Process and Inspect Users’ Sessions in 3D Environments || Enhancing Visitor Experience or Hindering Docent Roles: Attentional Issues in Augmented Reality Supported Installations"
12,Convolutional neural network / fused image / nonimage features / improved breast cancer classification / breast cancer diagnosis,2465,"Convolutional neural network, fused image, nonimage features, improved breast cancer classification, breast cancer diagnosis",End-to-End Learning of Fused Image and Non-Image Features for Improved Breast Cancer Classification from MRI || Data Pyramid Structure for Optimizing EUS-based GISTs Diagnosis in Multi-Center Analysis with Missing Label || DSGMFFN: Deepest Semantically Guided Multi-Scale Feature Fusion Network for Automated Lesion Segmentation in ABUS Images. || Richer Fusion Network for Breast Cancer Classification Based on Multimodal Data || NeighborNet: Learning Intra- and Inter-Image Pixel Neighbor Representation for Breast Lesion Segmentation
20,Business models / Software engineering /  artificial intelligence /  AI-based systems /  systematic mapping study,2394,"Business models, Software engineering,  artificial intelligence,  AI-based systems,  systematic mapping study","Software Engineering for AI-Based Systems: A Survey || Decision Support for Efficient XAI Services - A Morphological Analysis, Business Model Archetypes, and a Decision Tree || Software Mediators As First-Class Entities of Systems-of-systems Software Architectures || A Process Model for Design-Oriented Machine Learning Research in Information Systems || Data Ecosystem Business Models: Value Propositions and Value Capture with Artificial Intelligence of Things"
11,safety / Cyber-physical-social systems (CPSS) / artificial systems / computational experiments / parallel execution (ACP),2388,"safety, Cyber-physical-social systems (CPSS), artificial systems, computational experiments, parallel execution (ACP)",Parallel Transportation in TransVerse: from Foundation Models to DeCAST || Toward Proactive Human–Robot Collaborative Assembly: A Multimodal Transfer-Learning-Enabled Action Prediction Approach || Challenges and Directions for Ambient Intelligence: A Cyber Physical Systems Perspective || Cognitive Digital Twin-Enabled Multi-Robot Collaborative Manufacturing: Framework and Approaches || From Human to Robot Everyday Activity.
136,deep neural network / Deep learning / transformer / computer graphics / computer vision,2330,"deep neural network, Deep learning, transformer, computer graphics, computer vision",Feature‐enhanced Representation with Transformers for Multi‐view Stereo || Deep Multi-Scale Features Learning for Distorted Image Quality Assessment. || Multi-stage Information Diffusion for Joint Depth and Surface Normal Estimation. || Multi-Modal Transformer for RGB-D Salient Object Detection. || Fine-Grained Visual Categorization: A Spatial–Frequency Feature Fusion Perspective
48,deep learning / Three-dimensional displays / Laser radar / Object detection / Feature extraction,2328,"deep learning, Three-dimensional displays, Laser radar, Object detection, Feature extraction","The RoboDrive Challenge: Drive Anytime Anywhere in Any Condition || Perception, Distance Estimation, and Tracking Integration from BEV Representations. || An Adaptive Network Fusing Light Detection and Ranging Height-Sliced Bird’s-Eye View and Vision for Place Recognition || DAIR-V2X: A Large-Scale Dataset for Vehicle-Infrastructure Cooperative 3D Object Detection || A Robust LiDAR-Camera Self-Calibration Via Rotation-Based Alignment and Multi-Level Cost Volume"
91,remote sensing / Feature extraction / Remote sensing / Deep learning / Transformers,2320,"remote sensing, Feature extraction, Remote sensing, Deep learning, Transformers",Orchard Classification Based on Super-Pixels and Deep Learning with Sparse Optical Images || Local and Long-Range Collaborative Learning for Remote Sensing Scene Classification. || A Large Scale Training Sample Database System for Intelligent Interpretation of Remote Sensing Imagery || Robust Object Categorization and Scene Classification over Remote Sensing Images Via Features Fusion and Fully Convolutional Network || A Multiscale Deeply Described Correlatons-Based Model for Land-Use Scene Classification
115,remote sensing images / object detection / Feature extraction / Remote sensing / Object detection,2316,"remote sensing images, object detection, Feature extraction, Remote sensing, Object detection",UAV Image Object Detection Based on Self-Attention Guidance and Global Feature Fusion || Object Detection in Remote Sensing Images Based on Improved Bounding Box Regression and Multi-Level Features Fusion || Machine Learning Meets Advanced Robotic Manipulation || Cross-Scale Feature Fusion for Object Detection in Optical Remote Sensing Images || DIMA: Digging into Multigranular Archetype for Fine-Grained Object Detection
55,Optimization / Intelligent Vehicles / State Of Charge / Intelligent Transportation Systems / Collaborative Framework,2223,"Optimization, Intelligent Vehicles, State Of Charge, Intelligent Transportation Systems, Collaborative Framework",The Emerging Intelligent Vehicles and Intelligent Vehicle Carriers Collaborative Systems || Joint Partial Offloading and Resource Allocation for Vehicular Federated Learning Tasks || Cyber-Physical Energy-Saving Control for Hybrid Aircraft-Towing Tractor Based on Online Swarm Intelligent Programming || Deployment of Unmanned Aerial Vehicle Base Stations for Optimal Quality of Coverage || Robust Wireless Sensor and Actuator Networks for Networked Control Systems.
57,Attention mechanism / Training / Visualization / Task analysis / deep learning,2186,"Attention mechanism, Training, Visualization, Task analysis, deep learning",Learning Discriminated Features Based on Feature Pyramid Networks and Attention for Multi-scale Object Detection. || Dual Encoding U-Net for Retinal Vessel Segmentation || Recurrent Multi-connection Fusion Network for Single Image Deraining. || Detecting Severity of Diabetic Retinopathy from Fundus Images: A Transformer Network-based Review || Insect Recognition Method with Strong Anti-Interference Capability for Next-Generation Consumer Imaging Technology
43,Data Sets for Robot Learning / Neural Machine Translation / Language Understanding / Word Representation / Machine Translation,2076,"Data Sets for Robot Learning, Neural Machine Translation, Language Understanding, Word Representation, Machine Translation",Prospection: Interpretable Plans from Language by Predicting the Future. || Interactive Language: Talking to Robots in Real Time || The VoxWorld Platform for Multimodal Embodied Agents. || Language to Rewards for Robotic Skill Synthesis || Evaluating Methods for End-User Creation of Robot Task Plans
135,Deep learning / transformer / Convolutional neural network / Joint trilateral filter / Guided depth map super-resolution,2051,"Deep learning, transformer, Convolutional neural network, Joint trilateral filter, Guided depth map super-resolution","Learning Content-Aware Feature Fusion for Guided Depth Map Super-Resolution || Vision-Centric BEV Perception: A Survey || Dynamic Message Propagation Network for RGB-D and Video Salient Object Detection || DSViT: Dynamically Scalable Vision Transformer for Remote Sensing Image Segmentation and Classification || Depth As Attention to Learn Image Representations for Visual Localization, Using Monocular Images"
83,Energy Internet (EI) / malicious data attacks / mobile crowd sensing (MCS) / multiarmed bandit (MAB) / reverse auction,2038,"Energy Internet (EI), malicious data attacks, mobile crowd sensing (MCS), multiarmed bandit (MAB), reverse auction",MIDP: an MDP-based Intelligent Big Data Processing Scheme for Vehicular Edge Computing || CRL-MABA: A Completion Rate Learning Based Accurate Data Collection Scheme in Large-Scale Energy Internet || Enhancing Quality of Service Through Federated Learning in Edge-Cloud Architecture || CITE: A Content Based Trust Evaluation Scheme for Data Collection with Internet of Everything || Resource Allocation for Latency-Aware Federated Learning in Industrial Internet of Things
45,Movement Qualities / Movement-based Interaction / Multimodal Measures / Movement Observation / Movement Recognition,1971,"Movement Qualities, Movement-based Interaction, Multimodal Measures, Movement Observation, Movement Recognition","Seeing, Sensing and Recognizing Laban Movement Qualities || Adapting Visualizations and Interfaces to the User. || XAIR: A Framework of Explainable AI in Augmented Reality. || ARticulate: One-Shot Interactions with Intelligent Assistants in Unfamiliar Smart Spaces Using Augmented Reality || Demonstrating AHA: Boosting Unmodified AI's Robustness by Proactively Inducing Favorable Human Sensing Conditions"
68,Chat conversations / software developers / conversation disentanglement / online communities / Discord,1872,"Chat conversations, software developers, conversation disentanglement, online communities, Discord","DISCO: A Dataset of Discord Chat Conversations for Software Engineering Research || PAL, a Tool for Pre-annotation and Active Learning || NLBSE'22 Tool Competition || Not Enough Labeled Data? Just Add Semantics: A Data-Efficient Method for Inferring Online Health Texts || Large Language Models for Networking: Applications, Enabling Techniques, and Challenges"
54,Deep learning / Atrial fibrillation / Myocardial infarction / ECG / Electrocardiography,1862,"Deep learning, Atrial fibrillation, Myocardial infarction, ECG, Electrocardiography",An Atrial Fibrillation Detection Algorithm Based on Lightweight Design Architecture and Feature Fusion Strategy || Explainable Detection of Myocardial Infarction Using Deep Learning Models with Grad-CAM Technique on ECG Signals || Detection of Myocardial Infarction Based on Novel Deep Transfer Learning Methods for Urban Healthcare in Smart Cities || Cardiac Arrhythmia Classification Using Advanced Deep Learning Techniques on Digitized ECG Datasets || MFF-IBL:A Lightweight Cascade Network Based on Multi-Branch Feature Fusion and Incremental Broad Learning for Lead-Independent ECG Classification
129,Reinforcement learning / ITÖ algorithm / Large scale optimization / Multiple balanced traveling salesmen problem / Crossover operator,1842,"Reinforcement learning, ITÖ algorithm, Large scale optimization, Multiple balanced traveling salesmen problem, Crossover operator",ITÖ Algorithm with Local Search for Large Scale Multiple Balanced Traveling Salesmen Problem || Collaborative Trajectory Planning for Autonomous Mining Trucks: A Grouping and Prioritized Optimization Based Approach || Learning for Multiple Purposes: A Q-learning Enhanced Hybrid Metaheuristic for Parallel Drone Scheduling Traveling Salesman Problem || A Continuous-Time Service Network Design and Vehicle Routing Problem || Choose Appropriate Subproblems for Collaborative Modeling in Expensive Multiobjective Optimization
38,virtual reality / passive haptics / virtual environments / locomotion / mobile gestures,1717,"virtual reality, passive haptics, virtual environments, locomotion, mobile gestures",Exploring Mobile Devices As Haptic Interfaces for Mixed Reality || Evaluating Visual-Spatiotemporal Coregistration of a Physics-based Virtual Reality Haptic Interface || Physical Hand Interaction for Controlling Multiple Virtual Objects in Virtual Reality. || Touching the Sphere: Leveraging Joint-Centered Kinespheres for Spatial User Interaction. || Elastic-Arm: Human-scale Passive Haptic Feedback for Augmenting Interaction and Perception in Virtual Environments
58,deep learning / perceptual learning / remote sensing / Remote sensing / Training,1701,"deep learning, perceptual learning, remote sensing, Remote sensing, Training",UHD Aerial Photograph Categorization by Leveraging Deep Multiattribute Matrix Factorization || An Attention-Guided Multilayer Feature Aggregation Network for Remote Sensing Image Scene Classification || MS-IAF: Multi-Scale Information Augmentation Framework for Aircraft Detection || MLIFeat: Multi-level Information Fusion Based Deep Local Features. || SEAM - an Improved Environmental Adaptation Method with Real Parameter Coding for Salient Object Detection
40,Industry 4.0 / Smart factory / Smart operators / Human-centric Industrial Internet / Smart Factory,1596,"Industry 4.0, Smart factory, Smart operators, Human-centric Industrial Internet, Smart Factory",Ubiquitous Knowledge Empowers the Smart Factory: the Impacts of a Service-oriented Digital Twin on Enterprises' Performance || Cognitive Systems and Interoperability in the Enterprise: A Systematic Literature Review || Smart Operators in Industry 4.0: A Human-Centered Approach to Enhance Operators' Capabilities and Competencies Within the New Smart Factory Context || Towards a Characterisation of Smart Systems: A Systematic Literature Review || Design and Evaluation of Virtual Environments Mechanisms to Support Remote Collaboration on Complex Process Diagrams
92,remote sensing / Bilinear pooling / feature fusion / remote sensing image / scene classification,1521,"remote sensing, Bilinear pooling, feature fusion, remote sensing image, scene classification",Robust Object Categorization and Scene Classification over Remote Sensing Images Via Features Fusion and Fully Convolutional Network || Aggregating Features from Dual Paths for Remote Sensing Image Scene Classification || A Shallow-to-Deep Feature Fusion Network for VHR Remote Sensing Image Classification || A Specially Optimized One-Stage Network for Object Detection in Remote Sensing Images. || MSST-Net: A Multi-Scale Adaptive Network for Building Extraction from Remote Sensing Images Based on Swin Transformer
4,Language Modeling / Machine Translation / Topic Modeling / Language Understanding / Large language models,547,"Language Modeling, Machine Translation, Topic Modeling, Language Understanding, Large language models","DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model || DeepSeek-V3 Technical Report || SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems. || How to Train BERT with an Academic Budget || PaLM: Scaling Language Modeling with Pathways"
0,Deep Learning / Representation Learning / Transfer Learning / Meta-Learning / Generalization,252,"Deep Learning, Representation Learning, Transfer Learning, Meta-Learning, Generalization",NeurIPS 2020 Competition: Predicting Generalization in Deep Learning || Exploring the Limits of Large Scale Pre-training || Methods and Analysis of the First Competition in Predicting Generalization of Deep Learning. || NEVIS'22: A Stream of 100 Tasks Sampled from 30 Years of Computer Vision Research. || Revisiting Neural Scaling Laws in Language and Vision.
2,Machine Translation / Neural Machine Translation / Statistical Machine Translation / Topic Modeling / Schema Matching,210,"Machine Translation, Neural Machine Translation, Statistical Machine Translation, Topic Modeling, Schema Matching",Gemini 1.5: Unlocking Multimodal Understanding Across Millions of Tokens of Context. || Gemini: A Family of Highly Capable Multimodal Models. || TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems. || PaLM: Scaling Language Modeling with Pathways || Direct Models for Simultaneous Translation and Automatic Subtitling: FBK@IWSLT2023.
1,micro/nano robots / Haptics and haptic interfaces / telerobotics and teleoperation / haptics / microrobotics,151,"micro/nano robots, Haptics and haptic interfaces, telerobotics and teleoperation, haptics, microrobotics",Experimental Evaluation of Haptic Shared Control for Multiple Electromagnetic Untethered Microrobots || Haptic Feedback for Microrobotics Applications: A Review. || A Systematic Literature Review of Decision-Making and Control Systems for Autonomous and Social Robots || Autonomous Spot: Long-Range Autonomous Exploration of Extreme Environments with Legged Locomotion || Steering and Control of Miniaturized Untethered Soft Magnetic Grippers with Haptic Assistance
3,Particle Detectors / High-Energy Collider / tracking machine learning challenge / machine learning / throughput,44,"Particle Detectors, High-Energy Collider, tracking machine learning challenge, machine learning, throughput",Machine Learning in High Energy Physics Community White Paper || Generative Models for Fast Calorimeter Simulation: the LHCb Case> || The Tracking Machine Learning Challenge : Throughput Phase || Black-Box Optimization with Local Generative Surrogates || DiTMoS: Delving into Diverse Tiny-Model Selection on Microcontrollers
