cluster,label,size,top_keywords,top_titles
81,Deep learning / Feature extraction / Visualization / Computer vision / Developments,149225,"Deep learning, Feature extraction, Visualization, Computer vision, Developments",Deep Learning for Visual Understanding: A Review. || LSV-ANet: Deep Learning on Local Structure Visualization for Feature Matching || Improving Deep Convolutional Neural Networks with Unsupervised Feature Learning || MFIL-FCOS: A Multi-Scale Fusion and Interactive Learning Method for 2D Object Detection and Remote Sensing Image Detection || DIMA: Digging into Multigranular Archetype for Fine-Grained Object Detection
12,Learning-from-observation / semantic constraints / domestic robots / object-centric action analysis / robot teaching,2074,"Learning-from-observation, semantic constraints, domestic robots, object-centric action analysis, robot teaching",Semantic Constraints to Represent Common Sense Required in Household Actions for Multi-Modal Learning-from-observation Robot || Collaborative Autonomy Between High-Level Behaviors and Human Operators for Remote Manipulation Tasks Using Different Humanoid Robots || Simultaneously Learning Intentions and Preferences During Physical Human-Robot Cooperation || Toward Proactive Human–Robot Collaborative Assembly: A Multimodal Transfer-Learning-Enabled Action Prediction Approach || LanCon-Learn: Learning with Language to Enable Generalization in Multi-Task Manipulation
6,Magnetic resonance imaging / Biomedical imaging / Biomedical engineering / efficient medical imaging / medical imaging,2048,"Magnetic resonance imaging, Biomedical imaging, Biomedical engineering, efficient medical imaging, medical imaging",Robust and Efficient Medical Imaging with Self-Supervision || AI in Medical Imaging Informatics: Current Challenges and Future Directions || GaNDLF: A Generally Nuanced Deep Learning Framework for Scalable End-to-End Clinical Workflows in Medical Imaging || Nnu-Net: Self-adapting Framework for U-Net-Based Medical Image Segmentation. || Benchmarking Collaborative Learning Methods Cost-Effectiveness for Prostate Segmentation
10,Virtual reality / microgesture /  grasping /  everyday objects /  false activation,1787,"Virtual reality, microgesture,  grasping,  everyday objects,  false activation",SoloFinger: Robust Microgestures while Grasping Everyday Objects || ANISMA: A Prototyping Toolkit to Explore Haptic Skin Deformation Applications Using Shape-Memory Alloys || Interactive Systems Based on Electrical Muscle Stimulation. || HulaMove: Using Commodity IMU for Waist Interaction. || Sensing Hand Interactions with Everyday Objects by Profiling Wrist Topography
11,Affective Computing / simulation models / inverse modeling / amortized inference / Efficient machine learning,1561,"Affective Computing, simulation models, inverse modeling, amortized inference, Efficient machine learning",Privileged Information for Modeling Affect in the Wild || Amortized Inference with User Simulations. || Talaria: Interactively Optimizing Machine Learning Models for Efficient Inference || BlenderBot 3: a deployed conversational agent that continually learns to   responsibly engage || MMAU: A Holistic Benchmark of Agent Capabilities Across Diverse Domains
13,Machine learning / Sentinel-1 / machine learning / deep learning / Soil moisture,1422,"Machine learning, Sentinel-1, machine learning, deep learning, Soil moisture","Are the Current Expectations for SAR Remote Sensing of Soil Moisture Using Machine Learning Over-Optimistic? || Synergistic Use of Multi-Temporal RADARSAT-2 and VENµS Data for Crop Classification Based on 1D Convolutional Neural Network || Detecting Fire Disturbances in Forests by Using GNSS Reflectometry and Machine Learning: A Case Study in Angola || A Comparison of Estimating Crop Residue Cover from Sentinel-2 Data Using Empirical Regressions and Machine Learning Methods || Multitemporal Level- $1\beta$ Products: Definitions, Interpretation, and Applications"
20,Human activity recognition / deep learning / wearables / Activity recognition / Wearable sensors,1168,"Human activity recognition, deep learning, wearables, Activity recognition, Wearable sensors",Encoding Human Activities Using Multimodal Wearable Sensory Data || WMNN: Wearables-Based Multi-Column Neural Network for Human Activity Recognition || M3Sense: Affect-Agnostic Multitask Representation Learning Using MultimodalWearable Sensors || SenseCollect: We Need Efficient Ways to Collect On-body Sensor-based Human Activity Data! || Intelligent Wearable System with Motion and Emotion Recognition Based on Digital Twin Technology
3,Language Modeling / Machine Translation / Topic Modeling / Multilingual Neural Machine Translation / Statistical Language Modeling,437,"Language Modeling, Machine Translation, Topic Modeling, Multilingual Neural Machine Translation, Statistical Language Modeling","SOLAR 10.7B: Scaling Large Language Models with Simple Yet Effective Depth Up-Scaling || Benchmarking Generalization Via In-Context Instructions on 1, 600+ Language Tasks || Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, A Large-Scale Generative Language Model || Improving Language Models by Retrieving from Trillions of Tokens || DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model"
1,Representation Learning / Transfer Learning / Meta-Learning / Unsupervised Learning / Model Compression,420,"Representation Learning, Transfer Learning, Meta-Learning, Unsupervised Learning, Model Compression",Pixel Recurrent Neural Networks. || PixelCNN++: Improving the PixelCNN with Discretized Logistic Mixture Likelihood and Other Modifications. || Few-shot Autoregressive Density Estimation: Towards Learning to Learn Distributions. || Flamingo: a Visual Language Model for Few-Shot Learning || Weight Normalization: A Simple Reparameterization to Accelerate Training of Deep Neural Networks
0,quantum computing / Computer science / Quantum Computing / Benchmarking / real-system quantum computer studies,328,"quantum computing, Computer science, Quantum Computing, Benchmarking, real-system quantum computer studies",QUARK: A Framework for Quantum Computing Application Benchmarking || Automated Optimization of Large Quantum Circuits with Continuous Parameters || An Outlook for Quantum Computing [point of View] || MQT Bench: Benchmarking Software and Design Automation Tools for Quantum Computing || Programming Languages and Compiler Design for Realistic Quantum Hardware.
4,Deep Learning / GPU / Graph-level Optimizations / Data Layout / Memoization,193,"Deep Learning, GPU, Graph-level Optimizations, Data Layout, Memoization",BrickDL: Graph-Level Optimizations for DNNs with Fine-Grained Data Blocking on GPUs || SurgT Challenge: Benchmark of Soft-Tissue Trackers for Robotic Surgery || Gemini 1.5: Unlocking Multimodal Understanding Across Millions of Tokens of Context. || MediaPipe: A Framework for Building Perception Pipelines || DeepSeekMoE: Towards Ultimate Expert Specialization in Mixture-of-Experts Language Models
2,CMS / Offline and computing / Machine learning / Particle Detectors / High-Energy Collider,69,"CMS, Offline and computing, Machine learning, Particle Detectors, High-Energy Collider",Portable Acceleration of CMS Computing Workflows with Coprocessors As a Service || Machine Learning in High Energy Physics Community White Paper || Generative Models for Fast Calorimeter Simulation: the LHCb Case> || DeepSeek-R1: Incentivizing Reasoning Capability in LLMs Via Reinforcement Learning || The Tracking Machine Learning Challenge : Throughput Phase
